Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-10-24 21:00:00,6422.72,6431.23,6420,6430.16,83.74,538062.67,6425.25
2018-10-24 22:00:00,6426.91,6428.6,6416.41,6419.63,64.38,413475.6,6422.78
2018-10-24 23:00:00,6417.74,6418.32,6401.04,6411.96,116.55,747027.85,6409.41
2018-10-25 00:00:00,6411.96,6422.73,6407.99,6422.16,70.46,451746.33,6411.43
2018-10-25 01:00:00,6422.12,6422.12,6361.73,6385.14,468.98,2996550.79,6389.45
2018-10-25 02:00:00,6385.14,6395.87,6377.84,6392.07,319.43,2039874.36,6385.96
2018-10-25 03:00:00,6393.38,6394.22,6380.41,6389.91,111.95,715243.37,6388.94
2018-10-25 04:00:00,6389.91,6397.21,6386.01,6394.48,108,690265.72,6391.51
2018-10-25 05:00:00,6394.48,6396.43,6383.48,6393,78.7,503013.1,6391.45
2018-10-25 06:00:00,6389.13,6402.8,6389.13,6402.44,144.61,925237.42,6398.2
2018-10-25 07:00:00,6402.8,6406.62,6393.74,6398.94,170.98,1094850.64,6403.41
2018-10-25 08:00:00,6398.93,6410.68,6397.01,6403.37,145.07,929332.94,6406.13
2018-10-25 09:00:00,6403.08,6405.74,6388.9,6396.2,112.84,722131.36,6399.59
2018-10-25 10:00:00,6395.27,6398.44,6390.53,6394.17,123.11,787283.94,6395.14
2018-10-25 11:00:00,6393.9,6404.62,6387.38,6391.18,108.49,694142.6,6398.02
2018-10-25 12:00:00,6391.31,6403.58,6391.31,6402.49,65.93,421867.69,6399.14
2018-10-25 13:00:00,6402.49,6410,6395,6405,73.17,468582.64,6403.73
2018-10-25 14:00:00,6406.65,6412.14,6397.12,6398.08,87.76,561994.65,6404.01
2018-10-25 15:00:00,6399.69,6401.94,6389.48,6396.18,130.7,836015.81,6396.38
2018-10-25 16:00:00,6397.81,6404.95,6395.01,6400,57.03,365085.42,6401.33
2018-10-25 17:00:00,6400,6400.53,6394.59,6398.79,55.01,351933.71,6398
2018-10-25 18:00:00,6398.8,6413.18,6397.78,6412.4,181.76,1164124.72,6404.61
2018-10-25 19:00:00,6412.2,6413.2,6408,6410,158.95,1018962.74,6410.73
